meeting_key,circuit_key,circuit_short_name,meeting_code,location,country_key,country_code,country_name,meeting_name,meeting_official_name,gmt_offset,date_start,year
1140,63,Sakhir,BRN,Sakhir,36,BRN,Bahrain,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2023,03:00:00,2023-02-23T07:00:00+00:00,2023
1141,63,Sakhir,BRN,Sakhir,36,BRN,Bahrain,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2023,03:00:00,2023-03-03T11:30:00+00:00,2023
1142,149,Jeddah,KSA,Jeddah,153,KSA,Saudi Arabia,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,03:00:00,2023-03-17T13:30:00+00:00,2023
1143,10,Melbourne,AUS,Melbourne,5,AUS,Australia,Australian Grand Prix,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,11:00:00,2023-03-31T01:30:00+00:00,2023
1207,144,Baku,AZE,Baku,30,AZE,Azerbaijan,Azerbaijan Grand Prix,FORMULA 1 AZERBAIJAN GRAND PRIX 2023,04:00:00,2023-04-28T09:30:00+00:00,2023
1208,151,Miami,USA,Miami,19,USA,United States,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,-04:00:00,2023-05-05T18:00:00+00:00,2023
1210,22,Monte Carlo,MON,Monaco,114,MON,Monaco,Monaco Grand Prix,FORMULA 1 GRAND PRIX DE MONACO 2023,02:00:00,2023-05-26T11:30:00+00:00,2023
1211,15,Catalunya,ESP,Barcelona,1,ESP,Spain,Spanish Grand Prix,FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,02:00:00,2023-06-02T11:30:00+00:00,2023
1212,23,Montreal,CAN,Montréal,46,CAN,Canada,Canadian Grand Prix,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,-04:00:00,2023-06-16T17:30:00+00:00,2023
1213,19,Spielberg,AUT,Spielberg,17,AUT,Austria,Austrian Grand Prix,FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,02:00:00,2023-06-30T11:30:00+00:00,2023
1214,2,Silverstone,GBR,Silverstone,2,GBR,Great Britain,British Grand Prix,FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,01:00:00,2023-07-07T11:30:00+00:00,2023
1215,4,Hungaroring,HUN,Budapest,14,HUN,Hungary,Hungarian Grand Prix,FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,02:00:00,2023-07-21T11:30:00+00:00,2023
1216,7,Spa-Francorchamps,BEL,Spa-Francorchamps,16,BEL,Belgium,Belgian Grand Prix,FORMULA 1 MSC CRUISES BELGIAN GRAND PRIX 2023,02:00:00,2023-07-28T11:30:00+00:00,2023
1217,55,Zandvoort,NED,Zandvoort,133,NED,Netherlands,Dutch Grand Prix,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2023,02:00:00,2023-08-25T10:30:00+00:00,2023
1218,39,Monza,ITA,Monza,13,ITA,Italy,Italian Grand Prix,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023 ,02:00:00,2023-09-01T11:30:00+00:00,2023
1219,61,Singapore,SGP,Marina Bay,157,SGP,Singapore,Singapore Grand Prix,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023 ,08:00:00,2023-09-15T09:30:00+00:00,2023
1220,46,Suzuka,JPN,Suzuka,4,JPN,Japan,Japanese Grand Prix,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2023 ,09:00:00,2023-09-22T02:30:00+00:00,2023
1221,150,Lusail,QAT,Lusail,149,QAT,Qatar,Qatar Grand Prix,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023,03:00:00,2023-10-06T13:30:00+00:00,2023
1222,9,Austin,USA,Austin,19,USA,United States,United States Grand Prix,FORMULA 1 LENOVO UNITED STATES GRAND PRIX 2023,-05:00:00,2023-10-20T17:30:00+00:00,2023
1223,65,Mexico City,MEX,Mexico City,8,MEX,Mexico,Mexico City Grand Prix,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2023,-06:00:00,2023-10-27T18:30:00+00:00,2023
1224,14,Interlagos,BRA,São Paulo,10,BRA,Brazil,São Paulo Grand Prix,FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023,-03:00:00,2023-11-03T14:30:00+00:00,2023
1225,152,Las Vegas,USA,Las Vegas,19,USA,United States,Las Vegas Grand Prix,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2023,-08:00:00,2023-11-17T04:30:00+00:00,2023
1226,70,Yas Marina Circuit,UAE,Yas Island,21,UAE,United Arab Emirates,Abu Dhabi Grand Prix,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023 ,04:00:00,2023-11-24T09:30:00+00:00,2023
1228,63,Sakhir,BRN,Sakhir,36,BRN,Bahrain,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2024,03:00:00,2024-02-21T07:00:00+00:00,2024
1229,63,Sakhir,BRN,Sakhir,36,BRN,Bahrain,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024,03:00:00,2024-02-29T11:30:00+00:00,2024
1230,149,Jeddah,KSA,Jeddah,153,KSA,Saudi Arabia,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024,03:00:00,2024-03-07T13:30:00+00:00,2024
1231,10,Melbourne,AUS,Melbourne,5,AUS,Australia,Australian Grand Prix,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,11:00:00,2024-03-22T01:30:00+00:00,2024
1232,46,Suzuka,JPN,Suzuka,4,JPN,Japan,Japanese Grand Prix,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024,09:00:00,2024-04-05T02:30:00+00:00,2024
1233,49,Shanghai,CHN,Shanghai,53,CHN,China,Chinese Grand Prix,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024,08:00:00,2024-04-19T03:30:00+00:00,2024
1234,151,Miami,USA,Miami,19,USA,United States,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,-04:00:00,2024-05-03T16:30:00+00:00,2024
1235,6,Imola,ITA,Imola,13,ITA,Italy,Emilia Romagna Grand Prix,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024,02:00:00,2024-05-17T11:30:00+00:00,2024
1236,22,Monte Carlo,MON,Monaco,114,MON,Monaco,Monaco Grand Prix,FORMULA 1 GRAND PRIX DE MONACO 2024,02:00:00,2024-05-24T11:30:00+00:00,2024
1237,23,Montreal,CAN,Montréal,46,CAN,Canada,Canadian Grand Prix,FORMULA 1 AWS GRAND PRIX DU CANADA 2024,-04:00:00,2024-06-07T17:30:00+00:00,2024
1238,15,Catalunya,ESP,Barcelona,1,ESP,Spain,Spanish Grand Prix,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,02:00:00,2024-06-21T11:30:00+00:00,2024
1239,19,Spielberg,AUT,Spielberg,17,AUT,Austria,Austrian Grand Prix,FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,02:00:00,2024-06-28T10:30:00+00:00,2024
1240,2,Silverstone,GBR,Silverstone,2,GBR,Great Britain,British Grand Prix,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,01:00:00,2024-07-05T11:30:00+00:00,2024
1241,4,Hungaroring,HUN,Budapest,14,HUN,Hungary,Hungarian Grand Prix,FORMULA 1 HUNGARIAN GRAND PRIX 2024,02:00:00,2024-07-19T11:30:00+00:00,2024
1242,7,Spa-Francorchamps,BEL,Spa-Francorchamps,16,BEL,Belgium,Belgian Grand Prix,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,02:00:00,2024-07-26T11:30:00+00:00,2024
1243,55,Zandvoort,NED,Zandvoort,133,NED,Netherlands,Dutch Grand Prix,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,02:00:00,2024-08-23T10:30:00+00:00,2024
1244,39,Monza,ITA,Monza,13,ITA,Italy,Italian Grand Prix,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,02:00:00,2024-08-30T11:30:00+00:00,2024
1245,144,Baku,AZE,Baku,30,AZE,Azerbaijan,Azerbaijan Grand Prix,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,04:00:00,2024-09-13T09:30:00+00:00,2024
1246,61,Singapore,SGP,Marina Bay,157,SGP,Singapore,Singapore Grand Prix,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,08:00:00,2024-09-20T09:30:00+00:00,2024
1247,9,Austin,USA,Austin,19,USA,United States,United States Grand Prix,FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,-05:00:00,2024-10-18T17:30:00+00:00,2024
1248,65,Mexico City,MEX,Mexico City,8,MEX,Mexico,Mexico City Grand Prix,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,-06:00:00,2024-10-25T18:30:00+00:00,2024
1249,14,Interlagos,BRA,São Paulo,10,BRA,Brazil,São Paulo Grand Prix,FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,-03:00:00,2024-11-01T14:30:00+00:00,2024
1250,152,Las Vegas,USA,Las Vegas,19,USA,United States,Las Vegas Grand Prix,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,-08:00:00,2024-11-22T02:30:00+00:00,2024
1251,150,Lusail,QAT,Lusail,149,QAT,Qatar,Qatar Grand Prix,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024,03:00:00,2024-11-29T13:30:00+00:00,2024
1252,70,Yas Marina Circuit,UAE,Yas Island,21,UAE,United Arab Emirates,Abu Dhabi Grand Prix,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,04:00:00,2024-12-06T09:30:00+00:00,2024
1253,63,Sakhir,BRN,Sakhir,36,BRN,Bahrain,Pre-Season Testing,FORMULA 1 ARAMCO PRE-SEASON TESTING 2025,03:00:00,2025-02-26T07:00:00+00:00,2025
1254,10,Melbourne,AUS,Melbourne,5,AUS,Australia,Australian Grand Prix,FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,11:00:00,2025-03-14T01:30:00+00:00,2025
1255,49,Shanghai,CHN,Shanghai,53,CHN,China,Chinese Grand Prix,FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,08:00:00,2025-03-21T03:30:00+00:00,2025
1256,46,Suzuka,JPN,Suzuka,4,JPN,Japan,Japanese Grand Prix,FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,09:00:00,2025-04-04T02:30:00+00:00,2025
1257,63,Sakhir,BRN,Sakhir,36,BRN,Bahrain,Bahrain Grand Prix,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,03:00:00,2025-04-11T11:30:00+00:00,2025
1258,149,Jeddah,KSA,Jeddah,153,KSA,Saudi Arabia,Saudi Arabian Grand Prix,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025,03:00:00,2025-04-18T13:30:00+00:00,2025
1259,151,Miami,USA,Miami,19,USA,United States,Miami Grand Prix,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025,-04:00:00,2025-05-02T16:30:00+00:00,2025
1260,6,Imola,ITA,Imola,13,ITA,Italy,Emilia Romagna Grand Prix,FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,02:00:00,2025-05-16T11:30:00+00:00,2025
1261,22,Monte Carlo,MON,Monaco,114,MON,Monaco,Monaco Grand Prix,FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,02:00:00,2025-05-23T11:30:00+00:00,2025
1262,15,Catalunya,ESP,Barcelona,1,ESP,Spain,Spanish Grand Prix,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,02:00:00,2025-05-30T11:30:00+00:00,2025
1263,23,Montreal,CAN,Montréal,46,CAN,Canada,Canadian Grand Prix,FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2025,-04:00:00,2025-06-13T17:30:00+00:00,2025
1264,19,Spielberg,AUT,Spielberg,17,AUT,Austria,Austrian Grand Prix,FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025,02:00:00,2025-06-27T11:30:00+00:00,2025
1277,2,Silverstone,GBR,Silverstone,2,GBR,United Kingdom,British Grand Prix,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2025,01:00:00,2025-07-04T11:30:00+00:00,2025
1265,7,Spa-Francorchamps,BEL,Spa-Francorchamps,16,BEL,Belgium,Belgian Grand Prix,FORMULA 1 MOËT & CHANDON BELGIAN GRAND PRIX 2025,02:00:00,2025-07-25T10:30:00+00:00,2025
1266,4,Hungaroring,HUN,Budapest,14,HUN,Hungary,Hungarian Grand Prix,FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025,02:00:00,2025-08-01T11:30:00+00:00,2025
1267,55,Zandvoort,NED,Zandvoort,133,NED,Netherlands,Dutch Grand Prix,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025,02:00:00,2025-08-29T10:30:00+00:00,2025
1268,39,Monza,ITA,Monza,13,ITA,Italy,Italian Grand Prix,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2025,02:00:00,2025-09-05T11:30:00+00:00,2025
1269,144,Baku,AZE,Baku,30,AZE,Azerbaijan,Azerbaijan Grand Prix,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2025,04:00:00,2025-09-19T08:30:00+00:00,2025
1270,61,Singapore,SGP,Marina Bay,157,SGP,Singapore,Singapore Grand Prix,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2025,08:00:00,2025-10-03T09:30:00+00:00,2025
1271,9,Austin,USA,Austin,19,USA,United States,United States Grand Prix,FORMULA 1 MSC CRUISES UNITED STATES GRAND PRIX 2025,-05:00:00,2025-10-17T17:30:00+00:00,2025
1272,65,Mexico City,MEX,Mexico City,8,MEX,Mexico,Mexico City Grand Prix,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2025,-06:00:00,2025-10-24T18:30:00+00:00,2025
